uncertainty,scenario,regime,variable,t,shock_id,contribution
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,cotton_a_indx,-0.004064001239438742
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,crude_wti,-0.002424512733961672
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,gold,-0.00667735764002571
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,lead,-0.004091780301877263
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,maize,-0.014936201419741873
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,ngas_us,-0.009983974738528184
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,nickel,-0.0029159183181132206
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,platinum,-0.00963562246940948
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,silver,-0.0066699747433933195
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,soybeans,-0.012106334657898992
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,sugar_wld,-0.0032191418090755145
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,tin,-0.004838580898013061
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,wheat_us_hrw,-0.004395096230597718
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,zinc,-0.009979484883265968
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,aluminium,0.02411250552377375
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,cocoa,2.5074935715514165e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,coffee_arabic,0.0014239191866978768
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,copper,0.007967230417282778
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,cotton_a_indx,0.0015108516332418235
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,crude_wti,9.35514223674344e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,gold,0.0024310165488170155
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,lead,0.0015915736946394204
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,maize,0.00583311581309194
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,ngas_us,0.003599333407969113
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,nickel,0.0011558054824399434
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,platinum,0.0034964850520383113
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,silver,0.0034892297156310405
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,soybeans,0.004376875677979889
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,sugar_wld,0.0018558916053347922
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,tin,0.0021409061655681305
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,wheat_us_hrw,0.00160314517143587
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,zinc,0.004539873803923815
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,aluminium,0.09205742214281504
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,cocoa,0.0018764995969189735
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,coffee_arabic,0.013305114254604598
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,copper,0.034654596991899066
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,cotton_a_indx,0.008822137615308557
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,crude_wti,0.0033256489157800218
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,gold,0.009870473227900184
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,lead,0.005616916831575104
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,maize,0.022984410071878663
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,ngas_us,0.014818141271974332
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,nickel,0.004101107662755007
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,platinum,0.012984081302594132
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,silver,0.01232045917303333
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,soybeans,0.016789458097944198
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,sugar_wld,0.009884656848407343
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,tin,0.007804239978266641
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,wheat_us_hrw,0.010535053204058942
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,zinc,0.018344008788884963
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,aluminium,0.08702520509121174
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,cocoa,0.0018399830418956119
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,coffee_arabic,0.013200259065898017
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,copper,0.03514142989367434
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,cotton_a_indx,0.00792479534293335
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,crude_wti,0.0029587949120503084
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,gold,0.009565682463309726
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,lead,0.0065778608789345515
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,maize,0.02227623347925224
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,ngas_us,0.014073480924864618
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,nickel,0.004032729972845072
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,platinum,0.011478376997465116
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,silver,0.011183642167051066
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,soybeans,0.015121349160711957
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,sugar_wld,0.009113568764579307
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,tin,0.009104632183982175
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,wheat_us_hrw,0.009771948619876012
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,zinc,0.01712158141202385
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,aluminium,-0.03633217203920067
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,cocoa,-8.280314356774733e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,coffee_arabic,-0.005443921979391821
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,copper,-0.014503777319847682
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,cotton_a_indx,-0.0036994685783117848
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,crude_wti,-0.0012261451968391876
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,gold,-0.004234387826769463
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,lead,-0.003817911939800176
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,maize,-0.009916151785865135
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,ngas_us,-0.005997130041147571
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,nickel,-0.0017362132857612657
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,platinum,-0.0047449812156599965
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,silver,-0.0057372387670707155
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,soybeans,-0.006609241396091646
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,sugar_wld,-0.0037647517041887388
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,tin,-0.005607455902376142
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,wheat_us_hrw,-0.004044654722297943
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,zinc,-0.008157583137110565
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,aluminium,-0.04567569073659793
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,cocoa,-0.0010210323745817184
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,coffee_arabic,-0.006743347830766043
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,copper,-0.019481532364548592
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,cotton_a_indx,-0.005267236816420223
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,crude_wti,-0.001581620510132667
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,gold,-0.005221051216220796
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,lead,-0.005797537596354632
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,maize,-0.012464194002136768
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,ngas_us,-0.007896331937210614
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,nickel,-0.0021418015129437266
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,platinum,-0.006161871190228104
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,silver,-0.007171395027464399
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,soybeans,-0.008169869762483743
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,sugar_wld,-0.004703356703297872
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,tin,-0.007338043730513023
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,wheat_us_hrw,-0.005223401072439052
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,zinc,-0.010177160992823345
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,silver,0
