uncertainty,scenario,regime,variable,t,value
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,3,0.06346667955607915
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,4,0.11183338810597804
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,5,-0.2550735404123474
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,6,-0.17865966199549205
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,7,-0.01520236112786972
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,8,0.09780024100688532
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,9,0.1049664753929527
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,10,0.4522276060619709
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,11,0.1018553055848318
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,12,-0.3775565764834666
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,3,0.2075425171654332
vxo,GIRF — aluminium to uncertainty shock,combined,gold,4,-0.15537088729364543
vxo,GIRF — aluminium to uncertainty shock,combined,gold,5,-0.4394142527142065
vxo,GIRF — aluminium to uncertainty shock,combined,gold,6,0.09073202018358915
vxo,GIRF — aluminium to uncertainty shock,combined,gold,7,0.4116089145038567
vxo,GIRF — aluminium to uncertainty shock,combined,gold,8,-0.09250713011974836
vxo,GIRF — aluminium to uncertainty shock,combined,gold,9,-0.1248247996399751
vxo,GIRF — aluminium to uncertainty shock,combined,gold,10,0.15104151009796693
vxo,GIRF — aluminium to uncertainty shock,combined,gold,11,0.05903456852525671
vxo,GIRF — aluminium to uncertainty shock,combined,gold,12,-0.3133258130749825
vxo,GIRF — aluminium to uncertainty shock,combined,gold,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,gold,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,3,0.09106937442022855
vxo,GIRF — aluminium to uncertainty shock,combined,lead,4,0.13686888606282913
vxo,GIRF — aluminium to uncertainty shock,combined,lead,5,-0.29979242332551753
vxo,GIRF — aluminium to uncertainty shock,combined,lead,6,0.140330024145248
vxo,GIRF — aluminium to uncertainty shock,combined,lead,7,-0.1131254592630946
vxo,GIRF — aluminium to uncertainty shock,combined,lead,8,0.05683946130788688
vxo,GIRF — aluminium to uncertainty shock,combined,lead,9,-0.05447707095550246
vxo,GIRF — aluminium to uncertainty shock,combined,lead,10,0.1727224667547457
vxo,GIRF — aluminium to uncertainty shock,combined,lead,11,0.08190593991052188
vxo,GIRF — aluminium to uncertainty shock,combined,lead,12,-0.05078381577424037
vxo,GIRF — aluminium to uncertainty shock,combined,lead,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,lead,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,3,-0.24010742242940888
vxo,GIRF — aluminium to uncertainty shock,combined,maize,4,-0.08750409691709868
vxo,GIRF — aluminium to uncertainty shock,combined,maize,5,0.0936754366772739
vxo,GIRF — aluminium to uncertainty shock,combined,maize,6,0.36346200838208
vxo,GIRF — aluminium to uncertainty shock,combined,maize,7,-0.02035369003406678
vxo,GIRF — aluminium to uncertainty shock,combined,maize,8,-0.3160427284582952
vxo,GIRF — aluminium to uncertainty shock,combined,maize,9,-0.09614748964358352
vxo,GIRF — aluminium to uncertainty shock,combined,maize,10,0.30603519563120185
vxo,GIRF — aluminium to uncertainty shock,combined,maize,11,-0.05615216621173141
vxo,GIRF — aluminium to uncertainty shock,combined,maize,12,-0.17014723364420292
vxo,GIRF — aluminium to uncertainty shock,combined,maize,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,maize,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,3,-0.1749198823085538
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,4,0.1966568671830093
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,5,-0.03239538109010193
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,6,0.00696114184971353
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,7,0.06337909792065244
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,8,-0.08876313929607627
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,9,-0.08658203008307687
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,10,0.2932868670763848
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,11,0.07441805437386427
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,12,-0.25043582053889585
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,ngas_us,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,3,0.112534339648608
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,4,0.0036902229901556
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,5,-0.24698729892014928
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,6,0.209300544980783
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,7,0.01912081192605031
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,8,0.05157298344221164
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,9,-0.03558069419920737
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,10,0.05076228095348836
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,11,0.01827774138228103
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,12,0.08407390813510954
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,nickel,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,3,-0.08251275353933014
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,4,0.02856431609501808
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,5,-0.1856401198179237
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,6,0.3740363658968008
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,7,0.2061846431994398
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,8,-0.076819064413435
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,9,-0.24525826997708652
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,10,0.1570596357999
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,11,0.10575745077081068
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,12,-0.24347564901061175
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,platinum,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,3,0.13367723365863943
vxo,GIRF — aluminium to uncertainty shock,combined,silver,4,0.00256384729502242
vxo,GIRF — aluminium to uncertainty shock,combined,silver,5,-0.23667632008471023
vxo,GIRF — aluminium to uncertainty shock,combined,silver,6,0.31928852928155355
vxo,GIRF — aluminium to uncertainty shock,combined,silver,7,0.3157359659981921
vxo,GIRF — aluminium to uncertainty shock,combined,silver,8,-0.26938927439432536
vxo,GIRF — aluminium to uncertainty shock,combined,silver,9,-0.31278335681913877
vxo,GIRF — aluminium to uncertainty shock,combined,silver,10,0.18595698407391803
vxo,GIRF — aluminium to uncertainty shock,combined,silver,11,0.1439536233975403
vxo,GIRF — aluminium to uncertainty shock,combined,silver,12,-0.19972071462341456
vxo,GIRF — aluminium to uncertainty shock,combined,silver,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,silver,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,3,-0.2808129495413719
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,4,-0.02546513078167957
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,5,0.10870587462256528
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,6,0.14861750329437864
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,7,-0.2491596717407457
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,8,-0.1178215057859495
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,9,0.18414867322154435
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,10,0.26994807914631863
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,11,-0.23373060587805944
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,12,-5.455591545096997e-4
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,soybeans,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,3,-0.11329566238215588
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,4,0.15808347584740726
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,5,0.14417585228653687
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,6,0.16759677897216502
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,7,-0.16738299901838835
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,8,-0.4543939412237624
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,9,0.07262907043556172
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,10,0.4949543117322361
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,11,0.04841196578244589
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,12,-0.20054058713579745
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,sugar_wld,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,3,-0.10687430184198402
vxo,GIRF — aluminium to uncertainty shock,combined,tin,4,3.666284893506502e-4
vxo,GIRF — aluminium to uncertainty shock,combined,tin,5,-0.08111350848132978
vxo,GIRF — aluminium to uncertainty shock,combined,tin,6,0.39877151927720633
vxo,GIRF — aluminium to uncertainty shock,combined,tin,7,-0.05772258221194613
vxo,GIRF — aluminium to uncertainty shock,combined,tin,8,-0.23505286457188007
vxo,GIRF — aluminium to uncertainty shock,combined,tin,9,0.095620677441914
vxo,GIRF — aluminium to uncertainty shock,combined,tin,10,0.4182113129182532
vxo,GIRF — aluminium to uncertainty shock,combined,tin,11,-0.10917339770708516
vxo,GIRF — aluminium to uncertainty shock,combined,tin,12,-0.33037772936128157
vxo,GIRF — aluminium to uncertainty shock,combined,tin,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,tin,17,0
